1	0.01370771877170815	0.023850691277853706
2	0.020992815813958537	0.01637483551726337
3	0.014065100010199276	4.114116933439272e-05
4	0.018586877389593283	1.3811494123583244e-05
5	0.0009287613001308396	4.6366540623918065e-06
6	0.007765528428446074	1.556570252423241e-06
7	0.00044502786385134817	5.225559030554634e-07
8	0.0008583214741272158	1.7542714271521645e-07
9	4.585817570204332e-05	5.8892612677955713e-08
10	0.0012587464980937555	1.977082778841208e-08
11	0.00010636230769675425	6.637260832297286e-09
12	6.186667569815069e-05	2.2281935702138753e-09
13	0.00011846247401310067	7.480264391876034e-10
14	8.264986288829268e-05	2.511198134684366e-10
15	4.666249382117319e-05	8.430338476392575e-11
16	6.308412092747166e-05	2.8301473246944496e-11
17	2.5458787145973876e-05	9.501082194866262e-12
18	2.271486317997174e-05	3.189606494543619e-12
19	2.3554237081214014e-07	1.0707821889523212e-12
20	1.89141750461789e-05	3.5947208476623055e-13
21	8.502470154100913e-07	1.2067830513002136e-13
22	4.984103589957572e-06	4.051289083692126e-14
23	3.3692826031686385e-06	1.3600574868829058e-14
24	9.724315274863442e-07	4.56584639953797e-15
25	1.1674724573157747e-06	1.5327994254090095e-15
26	7.694101419123847e-07	5.14575803244699e-16
27	8.302716760156165e-07	1.7274814492723136e-16
28	7.914767657876826e-07	5.799324684065713e-17
29	4.444653269129776e-08	1.946890185442e-17
30	4.4246082767525465e-07	6.535901334486364e-18
31	1.4702644244375638e-08	2.1941661925036543e-18
32	1.9222912554583835e-07	7.366031146956252e-19
33	8.762043217168988e-08	2.47284891378346e-19
34	3.2643489861701e-08	8.301596379927778e-20
35	2.934548089940212e-08	2.786927340004666e-20
36	8.373906925415726e-09	9.35598846656928e-21
37	2.5570070705677722e-08	3.1408971066531923e-21
38	2.0854681332505687e-08	1.0544299696271453e-21
39	2.1948133869035844e-09	3.5398248433962718e-22
40	1.1346096929076461e-08	1.1883539242435848e-22
41	1.5088065730145275e-09	3.9894206972827415e-23
42	6.096529355847962e-09	1.339287663439237e-23
43	2.2499193956457533e-09	4.496120072107663e-24
44	1.2245562140787511e-09	1.5093916206115224e-24
45	6.805397615797433e-10	5.067175804240185e-25
46	6.566001616578476e-11	1.7011006969837248e-25
47	7.740052483705793e-10	5.710762632198046e-26
48	5.116505189024534e-10	1.9171598420143048e-26
49	7.758053817244762e-11	6.436102636363901e-27
